epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,300.78,0,14.7683,0,0,0,0,0,0,15.0907,0,0.0016436,0.0016436,0.0016436
20,316.046,0,14.0131,0,0,0,0,0,0,16.6102,0,0.0016238,0.0016238,0.0016238
21,331.536,0,13.2402,0,0,0,0,0,0,9.68429,0,0.001604,0.001604,0.001604
22,346.804,0,12.636,0,0,0,0,0,0,17.6566,0,0.0015842,0.0015842,0.0015842
23,362.371,0,12.0228,0,0,0,0,0,0,10.0068,0,0.0015644,0.0015644,0.0015644
24,377.634,0,11.3993,0,0,0,0,0,0,8.95872,0,0.0015446,0.0015446,0.0015446
25,393.373,0,10.7475,0,0,0,0,0,0,8.0596,0,0.0015248,0.0015248,0.0015248
26,408.724,0,10.2143,0,0,0,0,0,0,6.53182,0,0.001505,0.001505,0.001505
27,424.109,0,9.68036,0,0,0,0,0,0,8.04484,0,0.0014852,0.0014852,0.0014852
28,439.393,0,9.15667,0,0,0,0,0,0,8.27862,0,0.0014654,0.0014654,0.0014654
29,454.73,0,8.68251,0,0,0,0,0,0,8.02435,0,0.0014456,0.0014456,0.0014456
30,470.274,0,8.31677,0,0,0,0,0,0,7.53897,0,0.0014258,0.0014258,0.0014258
31,485.708,0,7.83945,0,0,0,0,0,0,7.61777,0,0.001406,0.001406,0.001406
32,501.058,0,7.39237,0,0,0,0,0,0,6.28433,0,0.0013862,0.0013862,0.0013862
33,516.537,0,7.00997,0,0,0,0,0,0,5.35245,0,0.0013664,0.0013664,0.0013664
34,532.082,0,6.72255,0,0,0,0,0,0,4.68295,0,0.0013466,0.0013466,0.0013466
35,547.512,0,6.40056,0,0,0,0,0,0,5.09299,0,0.0013268,0.0013268,0.0013268
36,562.813,0,6.02087,0,0,0,0,0,0,5.46872,0,0.001307,0.001307,0.001307
37,578.329,0,5.76037,0,0,0,0,0,0,5.58767,0,0.0012872,0.0012872,0.0012872
38,593.588,0,5.46761,0,0,0,0,0,0,5.42371,0,0.0012674,0.0012674,0.0012674
39,608.972,0,5.16882,0,0,0,0,0,0,4.68786,0,0.0012476,0.0012476,0.0012476
40,624.321,0,4.92917,0,0,0,0,0,0,4.41398,0,0.0012278,0.0012278,0.0012278
41,639.991,0,4.66006,0,0,0,0,0,0,4.326,0,0.001208,0.001208,0.001208
42,655.442,0,4.42352,0,0,0,0,0,0,4.192,0,0.0011882,0.0011882,0.0011882
43,670.847,0,4.22459,0,0,0,0,0,0,16.9963,0,0.0011684,0.0011684,0.0011684
44,686.452,0,3.98503,0,0,0,0,0,0,3.80835,0,0.0011486,0.0011486,0.0011486
45,701.878,0,3.77917,0,0,0,0,0,0,3.85593,0,0.0011288,0.0011288,0.0011288
46,717.296,0,3.59632,0,0,0,0,0,0,3.48412,0,0.001109,0.001109,0.001109
47,732.65,0,3.44007,0,0,0,0,0,0,3.40943,0,0.0010892,0.0010892,0.0010892
48,747.967,0,3.27617,0,0,0,0,0,0,3.07831,0,0.0010694,0.0010694,0.0010694
49,763.577,0,3.10293,0,0,0,0,0,0,2.92573,0,0.0010496,0.0010496,0.0010496
50,778.908,0,2.96571,0,0,0,0,0,0,2.7845,0,0.0010298,0.0010298,0.0010298
51,794.301,0,2.83936,0,0,0,0,0,0,2.67557,0,0.00101,0.00101,0.00101
52,809.533,0,2.69477,0,0,0,0,0,0,2.56926,0,0.0009902,0.0009902,0.0009902
53,825.162,0,2.56793,0,0,0,0,0,0,2.50402,0,0.0009704,0.0009704,0.0009704
54,840.565,0,2.45604,0,0,0,0,0,0,2.38683,0,0.0009506,0.0009506,0.0009506
55,855.889,0,2.39973,0,0,0,0,0,0,2.25848,0,0.0009308,0.0009308,0.0009308
56,871.582,0,2.25712,0,0,0,0,0,0,2.11901,0,0.000911,0.000911,0.000911
57,887.065,0,2.15769,0,0,0,0,0,0,2.03921,0,0.0008912,0.0008912,0.0008912
58,902.532,0,2.06612,0,0,0,0,0,0,1.91878,0,0.0008714,0.0008714,0.0008714
59,918.19,0,1.98684,0,0,0,0,0,0,1.84072,0,0.0008516,0.0008516,0.0008516
60,933.494,0,1.90085,0,0,0,0,0,0,1.74063,0,0.0008318,0.0008318,0.0008318
61,948.818,0,1.81755,0,0,0,0,0,0,1.70085,0,0.000812,0.000812,0.000812
62,964.106,0,1.74977,0,0,0,0,0,0,1.63135,0,0.0007922,0.0007922,0.0007922
63,979.74,0,1.68322,0,0,0,0,0,0,1.55801,0,0.0007724,0.0007724,0.0007724
64,995.083,0,1.61374,0,0,0,0,0,0,1.49039,0,0.0007526,0.0007526,0.0007526
65,1010.75,0,1.55089,0,0,0,0,0,0,1.45471,0,0.0007328,0.0007328,0.0007328
66,1026.08,0,1.50254,0,0,0,0,0,0,1.40123,0,0.000713,0.000713,0.000713
67,1041.75,0,1.45347,0,0,0,0,0,0,1.3532,0,0.0006932,0.0006932,0.0006932
68,1057.32,0,1.40171,0,0,0,0,0,0,1.31511,0,0.0006734,0.0006734,0.0006734
69,1072.99,0,1.35191,0,0,0,0,0,0,1.30513,0,0.0006536,0.0006536,0.0006536
70,1088.26,0,1.30977,0,0,0,0,0,0,1.2521,0,0.0006338,0.0006338,0.0006338
71,1103.71,0,1.26817,0,0,0,0,0,0,1.2189,0,0.000614,0.000614,0.000614
72,1119.38,0,1.22637,0,0,0,0,0,0,1.18602,0,0.0005942,0.0005942,0.0005942
73,1134.79,0,1.18696,0,0,0,0,0,0,1.14509,0,0.0005744,0.0005744,0.0005744
74,1150.19,0,1.15142,0,0,0,0,0,0,1.11444,0,0.0005546,0.0005546,0.0005546
75,1165.84,0,1.12123,0,0,0,0,0,0,1.10691,0,0.0005348,0.0005348,0.0005348
76,1181.78,0,1.08655,0,0,0,0,0,0,1.0745,0,0.000515,0.000515,0.000515
77,1197.32,0,1.05356,0,0,0,0,0,0,1.04738,0,0.0004952,0.0004952,0.0004952
78,1212.99,0,1.03334,0,0,0,0,0,0,1.02417,0,0.0004754,0.0004754,0.0004754
79,1228.6,0,1.00413,0,0,0,0,0,0,1.01581,0,0.0004556,0.0004556,0.0004556
80,1243.95,0,0.98202,0,0,0,0,0,0,0.95913,0,0.0004358,0.0004358,0.0004358
81,1259.65,0,0.95281,0,0,0,0,0,0,0.93852,0,0.000416,0.000416,0.000416
82,1275.03,0,0.9376,0,0,0,0,0,0,0.91989,0,0.0003962,0.0003962,0.0003962
83,1290.79,0,0.91395,0,0,0,0,0,0,0.90878,0,0.0003764,0.0003764,0.0003764
84,1306.21,0,0.89545,0,0,0,0,0,0,0.89351,0,0.0003566,0.0003566,0.0003566
85,1321.91,0,0.88038,0,0,0,0,0,0,0.87382,0,0.0003368,0.0003368,0.0003368
86,1337.35,0,0.86066,0,0,0,0,0,0,0.84564,0,0.000317,0.000317,0.000317
87,1352.77,0,0.84821,0,0,0,0,0,0,0.8344,0,0.0002972,0.0002972,0.0002972
88,1368.63,0,0.83339,0,0,0,0,0,0,0.82503,0,0.0002774,0.0002774,0.0002774
89,1384.27,0,0.81869,0,0,0,0,0,0,0.81926,0,0.0002576,0.0002576,0.0002576
90,1400.13,0,0.80686,0,0,0,0,0,0,0.80488,0,0.0002378,0.0002378,0.0002378
91,1416,0,0.79814,0,0,0,0,0,0,0.78906,0,0.000218,0.000218,0.000218
92,1431.32,0,0.78715,0,0,0,0,0,0,0.77276,0,0.0001982,0.0001982,0.0001982
93,1447.14,0,0.77791,0,0,0,0,0,0,0.76895,0,0.0001784,0.0001784,0.0001784
94,1462.79,0,0.77583,0,0,0,0,0,0,0.76183,0,0.0001586,0.0001586,0.0001586
95,1478.29,0,0.76934,0,0,0,0,0,0,0.7645,0,0.0001388,0.0001388,0.0001388
96,1493.98,0,0.76121,0,0,0,0,0,0,0.76195,0,0.000119,0.000119,0.000119
97,1509.45,0,0.75551,0,0,0,0,0,0,0.75953,0,9.92e-05,9.92e-05,9.92e-05
98,1525.09,0,0.75302,0,0,0,0,0,0,0.7562,0,7.94e-05,7.94e-05,7.94e-05
99,1540.69,0,0.74828,0,0,0,0,0,0,0.75345,0,5.96e-05,5.96e-05,5.96e-05
100,1556.35,0,0.74958,0,0,0,0,0,0,0.75199,0,3.98e-05,3.98e-05,3.98e-05
